row_num,minute_found
18,7
48,1
59,2
61,1
62,7
66,3
82,7
101,2
177,1
237,7
239,7
248,7
296,7
308,7
314,7
316,7
324,7
367,7
385,7
415,2
440,7
457,7
497,1
534,2
600,7
609,7
620,4
632,7
642,7
649,7
695,5
706,1
708,1
722,4
742,1
750,7
766,5
771,2
813,7
826,1
839,2
899,7
1031,7
1069,7
1077,7
1083,7
1125,7
1135,6
1136,7
1146,4
1160,7
1163,1
1175,1
1186,7
1195,7
1223,3
1255,1
1288,5
1310,3
1331,1
1361,7
1371,7
1379,7
1387,7
1432,2
1514,3
1553,7
1556,1
1589,7
1605,7
1632,7
1639,3
1642,7
1650,1
1692,1
1723,4
1776,3
1794,7
1838,7
1853,7
1872,3
1878,3
1900,7
2029,7
2037,2
2043,1
2072,5
2084,7
2102,3
2140,5
2146,2
2213,4
2252,2
2264,1
2271,7
2273,7
2287,7
2313,7
2333,7
2345,2
2346,7
2362,3
2413,4
2451,7
2490,6
2499,7
2546,7
2548,2
2562,6
2564,7
2614,3
2617,4
2629,7
2661,3
2666,6
2714,7
2727,7
2769,2
2784,7
2822,7
2827,3
2867,1
2894,1
2900,3
2955,7
2998,7
3026,7
3052,7
3053,7
3066,7
3096,7
3150,1
3186,7
3202,2
3210,7
3215,2
3216,7
3271,1
3286,1
3303,7
3313,7
3324,7
3341,7
3351,2
3376,1
3388,2
3422,3
3425,7
3432,1
3461,7
3486,2
3503,7
3592,2
3606,1
3614,1
3645,7
3711,7
3726,6
3732,7
3741,2
3789,1
3798,7
3800,7
3831,7
3883,7
3927,1
4006,7
4030,7
4059,1
4086,7
4094,7
4097,7
4098,7
4149,3
4154,7
4184,7
4185,7
4205,2
4239,2
4245,7
4250,7
4275,7
4349,7
4366,2
4417,3
4437,7
4440,7
4444,2
4487,3
4502,3
4511,1
4530,7
4547,2
4607,1
4641,4
4644,7
4652,7
4658,7
4663,6
4715,6
4751,7
4752,7
4760,6
4771,1
4798,7
4856,1
4916,1
4921,5
4938,7
4953,1
4961,7
4982,7
5004,7
5008,7
5023,1
5042,1
5124,2
5147,1
5157,1
5224,7
5240,1
5256,4
5279,7
5301,7
5311,7
5330,1
5339,6
5346,7
5363,7
5387,7
5390,7
5392,7
5394,3
5413,1
5427,7
5506,2
5510,7
5543,6
5578,7
5590,7
5593,7
5595,4
5665,7
5687,7
5751,7
5767,4
5779,1
5821,3
5827,5
5867,7
5909,1
5925,4
5936,1
5972,1
5986,3
6091,4
6103,7
6110,7
6158,7
6168,2
6176,3
6194,2
6201,7
6214,3
6221,1
6283,7
6287,7
6320,3
6344,1
6363,1
6436,6
6454,1
6455,7
6459,2
6478,7
6487,4
6522,7
6536,1
6539,1
6554,1
6559,7
6578,7
6603,7
6618,5
6670,1
6688,2
6723,7
6725,7
6729,1
6755,2
6764,1
6818,7
6824,7
6855,3
6863,1
6871,3
6913,2
6915,6
6917,3
6922,7
6986,3
6989,2
7011,2
7033,7
7056,5
7144,7
7169,7
7223,1
7256,2
7279,7
7286,4
7289,2
7301,5
7316,2
7336,3
7338,7
7352,1
7353,7
7358,2
7362,1
7371,1
7392,7
7398,1
7467,3
7468,7
7477,7
7505,7
7507,7
7511,3
7519,5
7566,4
